sample_name	cleaned_host
SRR29953194	cattle
SRR29953195	cattle
SRR29953196	cattle
SRR29953197	cattle
SRR29953198	chicken
SRR29953199	cattle
SRR29953200	chicken
SRR29953201	chicken
SRR29953202	chicken
SRR29953203	cattle
SRR29953204	cattle
SRR29953205	cattle
SRR29953206	cattle
SRR29953207	cattle
SRR29953208	cattle
SRR29953209	cattle
SRR29953210	cattle
SRR29953211	cattle
SRR29953212	cattle
SRR29953213	cattle
SRR29953214	cattle
SRR29953215	cattle
SRR29953216	cattle
SRR29953217	cattle
SRR29953218	cattle
SRR29953219	cattle
SRR29953220	cattle
SRR29953221	cattle
SRR29953222	cattle
SRR29953223	cattle
SRR29953224	cattle
SRR29953225	cattle
SRR29953226	cattle
SRR29953227	cattle
SRR29953228	cattle
SRR29953229	cattle
SRR29953230	chicken
SRR29953231	chicken
SRR29953232	cattle
SRR29953233	cattle
SRR29953234	cattle
SRR29953235	cattle
SRR29953236	cattle
SRR29953237	cattle
SRR29953238	cattle
SRR29953239	cattle
SRR29953240	cattle
SRR29953241	cattle
SRR29953242	cattle
SRR29953243	cattle
SRR29953244	cattle
SRR29953245	cattle
SRR29953246	cattle
SRR29953247	cattle
SRR29953248	cattle
SRR29953249	cattle
SRR29953250	cattle
SRR29953251	cattle
SRR29953252	cattle
SRR29953253	cattle
SRR29953254	cattle
SRR29953255	cattle
SRR29953256	cattle
SRR29953257	cattle
SRR29953258	cattle
SRR29953259	cattle
SRR29953260	cattle
SRR29953261	cattle
SRR29953262	cattle
SRR29953263	cattle
SRR29953264	turkey
SRR29953265	cattle
SRR29953266	turkey
SRR29953267	turkey
SRR29953268	turkey
SRR29953269	turkey
SRR29953270	cattle
SRR29953271	cattle
SRR29953272	cattle
SRR29953273	cattle
SRR29953274	cattle
SRR29953275	cattle
SRR29953276	cattle
SRR29953277	cattle
SRR29851687	cattle
SRR29851688	cattle
SRR29851689	cattle
SRR29851696	cattle
SRR29851697	cattle
SRR29851698	cattle
SRR29851701	cattle
SRR28752446	blackbird
SRR28752447	cattle
SRR28752448	cattle
SRR28752449	cattle
SRR28752450	cattle
SRR28752451	cattle
SRR28752452	cattle
SRR28752453	cattle
SRR28752454	cattle
SRR28752455	cattle
SRR28752456	cattle
SRR28752457	chicken
SRR28752458	cattle
SRR28752459	cattle
SRR28752460	cattle
SRR28752461	cattle
SRR28752462	cattle
SRR28752463	cattle
SRR28752464	cattle
SRR28752465	cattle
SRR28752466	cattle
SRR28752467	cattle
SRR28752468	chicken
SRR28752469	cattle
SRR28752470	cattle
SRR28752472	cattle
SRR28752473	cat
SRR28752474	cat
SRR28752475	cattle
SRR28752476	cattle
SRR28752478	cattle
SRR28752479	cattle
SRR28752480	cattle
SRR28752481	cattle
SRR28752482	cattle
SRR28752483	cattle
SRR28752484	cattle
SRR28752485	cattle
SRR28752486	cattle
SRR28752487	cattle
SRR28752488	cattle
SRR28752489	cattle
SRR28752490	cattle
SRR28752491	cattle
SRR28752492	cattle
SRR28752493	cattle
SRR28752494	cattle
SRR28752495	chicken
SRR28752496	chicken
SRR28752497	cattle
SRR28752498	cattle
SRR28752499	cattle
SRR28752500	cattle
SRR28752501	cattle
SRR28752502	cattle
SRR28752503	cattle
SRR28752504	cattle
SRR28752505	cattle
SRR28752506	cattle
SRR28752507	chicken
SRR28752508	chicken
SRR28752509	cattle
SRR28752510	cattle
SRR28752511	cat
SRR28752512	cat
