sample_name	amoxicillin	ampicillin	ceftriaxone	ciprofloxacin	gentamicin	levofloxacin	tetracycline	tobramycin
562.65371	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65372	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65369	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65374	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65375	NA	resistant	NA	NA	NA	NA	NA	NA
562.65368	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65367	NA	resistant	NA	NA	NA	NA	NA	NA
562.65366	NA	resistant	NA	NA	NA	NA	NA	NA
562.65365	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65364	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65376	NA	resistant	NA	NA	NA	NA	NA	NA
562.65377	NA	susceptible	NA	NA	NA	NA	NA	NA
562.6537	NA	resistant	NA	NA	NA	NA	NA	NA
562.65373	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65016	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65363	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65379	NA	resistant	NA	NA	NA	NA	NA	NA
562.6538	NA	resistant	NA	NA	NA	NA	NA	NA
562.65381	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65382	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65383	NA	resistant	NA	NA	NA	NA	NA	NA
562.65384	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65385	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65386	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65387	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65388	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65389	NA	resistant	NA	NA	NA	NA	NA	NA
562.6539	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65378	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65362	NA	resistant	NA	NA	NA	NA	NA	NA
562.65361	susceptible	susceptible	NA	NA	NA	NA	NA	NA
562.6536	NA	resistant	NA	NA	NA	NA	NA	NA
562.65339	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65338	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65337	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65336	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65335	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65334	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65333	resistant	resistant	NA	NA	NA	NA	NA	NA
562.6534	NA	resistant	NA	NA	NA	NA	NA	NA
562.65332	resistant	resistant	NA	NA	NA	NA	NA	NA
562.6533	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65329	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65328	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65327	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65326	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65325	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65324	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65331	NA	resistant	NA	NA	NA	NA	NA	NA
562.65391	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65341	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65343	NA	resistant	NA	NA	NA	NA	NA	NA
562.65359	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65358	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65357	NA	resistant	NA	NA	NA	NA	NA	NA
562.65356	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65355	NA	resistant	NA	NA	NA	NA	NA	NA
562.65354	NA	resistant	NA	NA	NA	NA	NA	NA
562.65353	NA	resistant	NA	NA	NA	NA	NA	NA
562.65342	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65352	NA	susceptible	NA	NA	NA	NA	NA	NA
562.6535	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65349	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65348	NA	resistant	NA	NA	NA	NA	NA	NA
562.65347	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65346	NA	resistant	NA	NA	NA	NA	NA	NA
562.65345	NA	resistant	NA	NA	NA	NA	NA	NA
562.65344	NA	resistant	NA	NA	NA	NA	NA	NA
562.65351	NA	resistant	NA	NA	NA	NA	NA	NA
562.65392	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65397	susceptible	susceptible	NA	NA	NA	NA	NA	NA
562.65395	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65429	NA	resistant	NA	NA	NA	NA	NA	NA
562.6543	NA	resistant	NA	NA	NA	NA	NA	NA
562.65431	NA	resistant	NA	NA	NA	NA	NA	NA
562.65432	susceptible	susceptible	NA	NA	NA	NA	NA	NA
562.65433	NA	resistant	NA	NA	NA	NA	NA	NA
562.65434	NA	resistant	NA	NA	NA	NA	NA	NA
562.65435	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65436	NA	resistant	NA	NA	NA	NA	NA	NA
562.65437	NA	susceptible	NA	NA	NA	NA	NA	NA
562.57315	NA	resistant	NA	susceptible	susceptible	NA	NA	susceptible
562.65438	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65439	NA	susceptible	NA	NA	NA	NA	NA	NA
562.6544	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65441	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65442	NA	resistant	NA	NA	NA	NA	NA	NA
562.65443	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65444	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65458	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65457	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65456	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65455	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65454	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65453	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65428	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65452	NA	susceptible	NA	NA	NA	NA	NA	NA
562.6545	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65449	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65448	resistant	susceptible	NA	NA	NA	NA	NA	NA
562.65447	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65446	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65445	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65451	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65427	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65426	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65425	NA	resistant	NA	NA	NA	NA	NA	NA
562.65406	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65405	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65404	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65403	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65402	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65401	NA	resistant	NA	NA	NA	NA	NA	NA
562.65407	NA	resistant	NA	NA	NA	NA	NA	NA
562.654	resistant	resistant	NA	NA	NA	NA	NA	NA
562.57316	NA	resistant	NA	susceptible	resistant	NA	NA	resistant
562.57317	NA	resistant	NA	susceptible	susceptible	NA	NA	susceptible
562.57318	NA	resistant	NA	susceptible	susceptible	NA	NA	susceptible
562.65398	NA	resistant	NA	NA	NA	NA	NA	NA
562.65323	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65396	NA	resistant	NA	NA	NA	NA	NA	NA
562.65399	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65393	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65408	NA	susceptible	NA	NA	NA	NA	NA	NA
562.6541	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65424	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65423	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65422	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65421	NA	susceptible	NA	NA	NA	NA	NA	NA
562.6542	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65419	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65409	NA	resistant	NA	NA	NA	NA	NA	NA
562.65418	NA	resistant	NA	NA	NA	NA	NA	NA
562.65416	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65415	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65414	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65413	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65412	NA	resistant	NA	NA	NA	NA	NA	NA
562.65411	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65417	NA	resistant	NA	NA	NA	NA	NA	NA
562.65322	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65321	NA	susceptible	NA	NA	NA	NA	NA	NA
562.6532	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65222000000006	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65221	NA	susceptible	NA	NA	NA	NA	NA	NA
562.6522	NA	resistant	NA	NA	NA	NA	NA	NA
562.65219	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65218	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65217	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65223	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65216	NA	resistant	NA	NA	NA	NA	NA	NA
562.65214	NA	resistant	NA	NA	NA	NA	NA	NA
562.65213	NA	resistant	NA	NA	NA	NA	NA	NA
562.65212	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65211	NA	susceptible	NA	NA	NA	NA	NA	NA
562.6521	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65209	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65215	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65224	NA	resistant	NA	NA	NA	NA	NA	NA
562.65225	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65226	NA	resistant	NA	NA	NA	NA	NA	NA
562.65242	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65241	NA	susceptible	NA	NA	NA	NA	NA	NA
562.6524	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65239	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65238	NA	resistant	NA	NA	NA	NA	NA	NA
562.65237	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65236	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65235	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65234	NA	resistant	NA	NA	NA	NA	NA	NA
562.65233	NA	resistant	NA	NA	NA	NA	NA	NA
562.65232	NA	resistant	NA	NA	NA	NA	NA	NA
562.65231000000006	NA	susceptible	NA	NA	NA	NA	NA	NA
562.6523	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65228	NA	resistant	NA	NA	NA	NA	NA	NA
562.65227	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65208	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65207	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65206	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65205	NA	resistant	NA	NA	NA	NA	NA	NA
562.6518	NA	resistant	NA	NA	NA	NA	NA	NA
562.65178	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65175	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65174	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65173	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65172	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65171	NA	susceptible	NA	NA	NA	NA	NA	NA
562.6517	NA	resistant	NA	NA	NA	NA	NA	NA
562.65169	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65168	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65167	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65166	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65164	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65163	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65162	NA	resistant	NA	NA	NA	NA	NA	NA
562.65181	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65243	NA	resistant	NA	NA	NA	NA	NA	NA
562.65182	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65184	NA	resistant	NA	NA	NA	NA	NA	NA
562.65204	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65203	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65202	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65201	NA	susceptible	NA	NA	NA	NA	NA	NA
562.652	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65199	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65198	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65197	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65196	NA	resistant	NA	NA	NA	NA	NA	NA
562.65193	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65189	NA	resistant	NA	NA	NA	NA	NA	NA
562.65188	NA	resistant	NA	NA	NA	NA	NA	NA
562.65187	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65186	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65185	susceptible	susceptible	NA	NA	NA	NA	NA	NA
562.65183	NA	resistant	NA	NA	NA	NA	NA	NA
562.65244	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65245	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65246	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65299	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65298	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65297	NA	resistant	NA	NA	NA	NA	NA	NA
562.65296	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65295	NA	resistant	NA	NA	NA	NA	NA	NA
