sample_name	ampicillin_RIS	gentamicin_RIS	linezolid_RIS	quinupristin_dalfopristin_RIS	streptomycin_RIS	teicoplanin_RIS	tigecycline_RIS	vancomycin_RIS
1352.10281	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10276	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10275	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10279	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.1028	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10278	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10285	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10283	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10284	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10286	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10287	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10288	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10282	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10274	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10263	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10272	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.1027	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10269	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10268	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10267	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10266	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10265	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10264	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10259	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10262	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10289	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10261	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.1026	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10273	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.1029	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10316	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10292	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10322	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10321	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10258	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.1032	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10319	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10318	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10317	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10315	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10314	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10313	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10312	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10311	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.1031	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10309	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10291	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10308	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10306	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10305	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10304	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10303	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10302	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10301	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.103	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10299	intermediate	NA	NA	NA	NA	NA	NA	resistant
1352.10298	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10297	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10296	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10295	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10294	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10293	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10307	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10257	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10198	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10255	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10213	resistant	NA	NA	NA	NA	NA	NA	susceptible
