sample_name	ampicillin_RIS	gentamicin_RIS	linezolid_RIS	quinupristin_dalfopristin_RIS	streptomycin_RIS	teicoplanin_RIS	tigecycline_RIS	vancomycin_RIS
1352.10281	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10276	I/R	NA	NA	NA	NA	NA	NA	S
1352.10275	I/R	NA	NA	NA	NA	NA	NA	S
1352.10279	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.1028	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10278	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10285	S	NA	NA	NA	NA	NA	NA	S
1352.10283	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10284	I/R	NA	NA	NA	NA	NA	NA	S
1352.10286	S	NA	NA	NA	NA	NA	NA	S
1352.10287	S	NA	NA	NA	NA	NA	NA	S
1352.10288	I/R	NA	NA	NA	NA	NA	NA	S
1352.10282	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10274	I/R	NA	NA	NA	NA	NA	NA	S
1352.10263	I/R	NA	NA	NA	NA	NA	NA	S
1352.10272	S	NA	NA	NA	NA	NA	NA	S
1352.1027	I/R	NA	NA	NA	NA	NA	NA	S
1352.10269	S	NA	NA	NA	NA	NA	NA	S
1352.10268	I/R	NA	NA	NA	NA	NA	NA	S
1352.10267	I/R	NA	NA	NA	NA	NA	NA	S
1352.10266	I/R	NA	NA	NA	NA	NA	NA	S
1352.10265	S	NA	NA	NA	NA	NA	NA	S
1352.10264	I/R	NA	NA	NA	NA	NA	NA	S
1352.10259	I/R	NA	NA	NA	NA	NA	NA	S
1352.10262	I/R	NA	NA	NA	NA	NA	NA	S
1352.10289	S	NA	NA	NA	NA	NA	NA	S
1352.10261	I/R	NA	NA	NA	NA	NA	NA	S
1352.1026	I/R	NA	NA	NA	NA	NA	NA	S
1352.10273	I/R	NA	NA	NA	NA	NA	NA	S
1352.1029	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10316	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10292	S	NA	NA	NA	NA	NA	NA	S
1352.10322	S	NA	NA	NA	NA	NA	NA	S
1352.10321	S	NA	NA	NA	NA	NA	NA	S
1352.10258	I/R	NA	NA	NA	NA	NA	NA	S
1352.1032	S	NA	NA	NA	NA	NA	NA	S
1352.10319	S	NA	NA	NA	NA	NA	NA	S
1352.10318	S	NA	NA	NA	NA	NA	NA	S
1352.10317	S	NA	NA	NA	NA	NA	NA	S
1352.10315	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10314	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10313	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10312	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10311	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.1031	I/R	NA	NA	NA	NA	NA	NA	S
1352.10309	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10291	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10308	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10306	I/R	NA	NA	NA	NA	NA	NA	S
1352.10305	S	NA	NA	NA	NA	NA	NA	S
1352.10304	S	NA	NA	NA	NA	NA	NA	S
1352.10303	S	NA	NA	NA	NA	NA	NA	S
1352.10302	S	NA	NA	NA	NA	NA	NA	S
1352.10301	I/R	NA	NA	NA	NA	NA	NA	S
1352.103	I/R	NA	NA	NA	NA	NA	NA	S
1352.10299	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10298	S	NA	NA	NA	NA	NA	NA	S
1352.10297	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10296	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10295	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10294	S	NA	NA	NA	NA	NA	NA	S
1352.10293	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10307	I/R	NA	NA	NA	NA	NA	NA	S
1352.10257	S	NA	NA	NA	NA	NA	NA	S
1352.10198	S	NA	NA	NA	NA	NA	NA	S
1352.10255	I/R	NA	NA	NA	NA	NA	NA	S
1352.10213	I/R	NA	NA	NA	NA	NA	NA	S
1352.10212	I/R	NA	NA	NA	NA	NA	NA	S
1352.10211	I/R	NA	NA	NA	NA	NA	NA	S
1352.1021	I/R	NA	NA	NA	NA	NA	NA	S
1352.10209	S	NA	NA	NA	NA	NA	NA	S
1352.10208	S	NA	NA	NA	NA	NA	NA	S
1352.10207	S	NA	NA	NA	NA	NA	NA	S
1352.10206	S	NA	NA	NA	NA	NA	NA	S
1352.10205	S	NA	NA	NA	NA	NA	NA	S
1352.10204	I/R	NA	NA	NA	NA	NA	NA	S
1352.10203	S	NA	NA	NA	NA	NA	NA	S
1352.10202	I/R	NA	NA	NA	NA	NA	NA	S
1352.10201	S	NA	NA	NA	NA	NA	NA	S
1352.102	S	NA	NA	NA	NA	NA	NA	S
1352.10199	S	NA	NA	NA	NA	NA	NA	S
1352.10323	S	NA	NA	NA	NA	NA	NA	S
1352.10196	S	NA	NA	NA	NA	NA	NA	S
1352.10195	I/R	NA	NA	NA	NA	NA	NA	S
1352.10194	S	NA	NA	NA	NA	NA	NA	S
1352.10193	I/R	NA	NA	NA	NA	NA	NA	S
1352.10192	I/R	NA	NA	NA	NA	NA	NA	S
1352.10191	I/R	NA	NA	NA	NA	NA	NA	S
1352.1019	I/R	NA	NA	NA	NA	NA	NA	S
1352.10189	I/R	NA	NA	NA	NA	NA	NA	S
1352.10188	I/R	NA	NA	NA	NA	NA	NA	S
1352.10187	I/R	NA	NA	NA	NA	NA	NA	S
1352.10186	I/R	NA	NA	NA	NA	NA	NA	S
1352.10185	S	NA	NA	NA	NA	NA	NA	S
1352.10184	S	NA	NA	NA	NA	NA	NA	S
1352.10214	S	NA	NA	NA	NA	NA	NA	S
1352.10215	I/R	NA	NA	NA	NA	NA	NA	S
1352.10216	I/R	NA	NA	NA	NA	NA	NA	S
1352.10217	I/R	NA	NA	NA	NA	NA	NA	S
1352.10254	I/R	NA	NA	NA	NA	NA	NA	S
1352.10252	I/R	NA	NA	NA	NA	NA	NA	S
1352.10251	I/R	NA	NA	NA	NA	NA	NA	S
1352.1025	I/R	NA	NA	NA	NA	NA	NA	S
1352.10249	S	NA	NA	NA	NA	NA	NA	S
1352.10248	I/R	NA	NA	NA	NA	NA	NA	S
1352.10247	I/R	NA	NA	NA	NA	NA	NA	S
1352.10246	I/R	NA	NA	NA	NA	NA	NA	S
1352.10245	I/R	NA	NA	NA	NA	NA	NA	S
1352.10243	I/R	NA	NA	NA	NA	NA	NA	S
1352.10242	I/R	NA	NA	NA	NA	NA	NA	S
1352.10241	I/R	NA	NA	NA	NA	NA	NA	S
1352.10238	I/R	NA	NA	NA	NA	NA	NA	S
1352.10237	S	NA	NA	NA	NA	NA	NA	S
1352.10256	I/R	NA	NA	NA	NA	NA	NA	S
1352.10236	S	NA	NA	NA	NA	NA	NA	S
1352.10234	I/R	NA	NA	NA	NA	NA	NA	S
1352.10233	I/R	NA	NA	NA	NA	NA	NA	S
1352.10231	I/R	NA	NA	NA	NA	NA	NA	S
1352.1023	S	NA	NA	NA	NA	NA	NA	S
1352.10228	I/R	NA	NA	NA	NA	NA	NA	S
1352.10227	I/R	NA	NA	NA	NA	NA	NA	S
1352.10226	I/R	NA	NA	NA	NA	NA	NA	S
1352.10225	I/R	NA	NA	NA	NA	NA	NA	S
1352.10224	S	NA	NA	NA	NA	NA	NA	S
1352.10223	S	NA	NA	NA	NA	NA	NA	S
1352.10222	S	NA	NA	NA	NA	NA	NA	S
1352.10221	I/R	NA	NA	NA	NA	NA	NA	S
1352.10219	I/R	NA	NA	NA	NA	NA	NA	S
1352.10218	I/R	NA	NA	NA	NA	NA	NA	S
1352.10235	I/R	NA	NA	NA	NA	NA	NA	S
1352.10324	I/R	NA	NA	NA	NA	NA	NA	S
1352.10373	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10326	I/R	NA	NA	NA	NA	NA	NA	S
1352.10423	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10422	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10421	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.1042	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10419	I/R	NA	NA	NA	NA	NA	NA	S
1352.10418	I/R	NA	NA	NA	NA	NA	NA	S
1352.10417	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10416	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10415	I/R	NA	NA	NA	NA	NA	NA	S
1352.10414	I/R	NA	NA	NA	NA	NA	NA	S
1352.10413	I/R	NA	NA	NA	NA	NA	NA	S
1352.10412	S	NA	NA	NA	NA	NA	NA	S
1352.10411	S	NA	NA	NA	NA	NA	NA	S
1352.1041	S	NA	NA	NA	NA	NA	NA	S
1352.10409	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10408	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10407	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10406	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10405	I/R	NA	NA	NA	NA	NA	NA	S
1352.10404	I/R	NA	NA	NA	NA	NA	NA	S
1352.10403	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10402	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10401	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.104	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10399	I/R	NA	NA	NA	NA	NA	NA	S
1352.10398	I/R	NA	NA	NA	NA	NA	NA	S
1352.10397	I/R	NA	NA	NA	NA	NA	NA	S
1352.10396	S	NA	NA	NA	NA	NA	NA	S
1352.10394	I/R	NA	NA	NA	NA	NA	NA	S
1352.10424	I/R	NA	NA	NA	NA	NA	NA	S
1352.10393	I/R	NA	NA	NA	NA	NA	NA	S
1352.10425	I/R	NA	NA	NA	NA	NA	NA	S
1352.10427	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10431	I/R	NA	NA	NA	NA	NA	NA	S
1352.10183	S	NA	NA	NA	NA	NA	NA	S
1352.10432	I/R	NA	NA	NA	NA	NA	NA	S
1352.10433	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10434	S	NA	NA	NA	NA	NA	NA	I/R
1352.10435	S	NA	NA	NA	NA	NA	NA	S
1352.10436	I/R	NA	NA	NA	NA	NA	NA	S
1352.10437	S	NA	NA	NA	NA	NA	NA	S
1352.10438	S	NA	NA	NA	NA	NA	NA	S
1352.10439	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.1044	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10441	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10442	I/R	NA	NA	NA	NA	NA	NA	S
1352.10443	I/R	NA	NA	NA	NA	NA	NA	S
1352.10444	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10445	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10446	I/R	NA	NA	NA	NA	NA	NA	S
1352.10447	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10448	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10449	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.1045	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10451	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10452	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10453	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10454	I/R	NA	NA	NA	NA	NA	NA	S
1352.10455	I/R	NA	NA	NA	NA	NA	NA	S
1352.1043	I/R	NA	NA	NA	NA	NA	NA	S
1352.10429	S	NA	NA	NA	NA	NA	NA	I/R
1352.10428	I/R	NA	NA	NA	NA	NA	NA	S
1352.10426	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10391	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.1039	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10389	S	NA	NA	NA	NA	NA	NA	S
1352.10355	I/R	NA	NA	NA	NA	NA	NA	S
1352.10354	I/R	NA	NA	NA	NA	NA	NA	S
1352.10353	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10352	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10351	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.1035	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10349	I/R	NA	NA	NA	NA	NA	NA	S
1352.10348	I/R	NA	NA	NA	NA	NA	NA	S
1352.10347	I/R	NA	NA	NA	NA	NA	NA	S
1352.10346	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10345	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10344	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10343	I/R	NA	NA	NA	NA	NA	NA	S
1352.10342	I/R	NA	NA	NA	NA	NA	NA	S
1352.10341	S	NA	NA	NA	NA	NA	NA	S
1352.1034	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10339	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10338	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10337	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10336	S	NA	NA	NA	NA	NA	NA	S
1352.10335	S	NA	NA	NA	NA	NA	NA	S
1352.10334	I/R	NA	NA	NA	NA	NA	NA	S
1352.10333	I/R	NA	NA	NA	NA	NA	NA	S
1352.10332	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10331	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.1033	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10329	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10328	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10327	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10356	I/R	NA	NA	NA	NA	NA	NA	S
1352.10357	I/R	NA	NA	NA	NA	NA	NA	S
1352.10358	I/R	NA	NA	NA	NA	NA	NA	S
1352.10359	I/R	NA	NA	NA	NA	NA	NA	S
1352.10388	I/R	NA	NA	NA	NA	NA	NA	S
1352.10387	I/R	NA	NA	NA	NA	NA	NA	S
1352.10385	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10384	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10383	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10382	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10381	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.1038	I/R	NA	NA	NA	NA	NA	NA	S
1352.10378	S	NA	NA	NA	NA	NA	NA	S
1352.10377	I/R	NA	NA	NA	NA	NA	NA	S
1352.10456	S	NA	NA	NA	NA	NA	NA	S
1352.10376	S	NA	NA	NA	NA	NA	NA	S
1352.10375	I/R	NA	NA	NA	NA	NA	NA	S
1352.10374	I/R	NA	NA	NA	NA	NA	NA	S
1352.10325	I/R	NA	NA	NA	NA	NA	NA	S
1352.10372	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10457	S	NA	NA	NA	NA	NA	NA	S
1352.10458	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10459	S	NA	NA	NA	NA	NA	NA	S
