sample_name,accession_name,brix_percent,apparent_purity_percent,tiller_number
SRR35670650,yunnan82-17,11.75,39.41,NA
SRR35197311,yunnan82-44,12.8,38.35,11.33333333
SRR35670649,yunnan83-202,16.4,38.11,NA
SRR35670648,yunnan84-258,16.02,36.68,NA
SRR35670647,yunnan82-33,17.32,48.77,6.333333333
SRR35670646,fujian88-I-4,16.07,23.01,7.666666667
SRR35670645,fujian89-I-4,15.17,49.58,14.66666667
SRR35670643,fujian88-I-7,19.1,47.06,17.33333333
SRR35197310,sichuan79-II-16,20.39,51.28,7.666666667
SRR35670642,sichuan88-22,13.41,30.61,11
SRR35197299,sichuan88-8,18.86,51.95,7.666666667
SRR35670641,sichuan92-50,18.67,48.88,12.66666667
SRR35197288,yunnan76-II-32,17.53,47.17,5.333333333
SRR35776250,yunnan75-II-17,17.13,59.89,8.666666667
SRR35197277,yunnan75-II-43,16.44,7.1,4.666666667
SRR35834125,yunnan82-25,12.21,21.36,24.33333333
SRR35834124,yunnan82-26,10.21,27.22,9
SRR35197266,yunnan82-48,15.52,31.13,9
SRR35776252,yunnan82-50,18.43,43.92,15
SRR35197255,yunnan82-58,16.66,42.81,11
SRR35834113,yunnan82-59,17.97,20.69,15.33333333
SRR35197254,yunnan83-173,13.32,44.97,5
SRR35834102,yunnan83-190,19.21,47.16,10
SRR35197253,yunnan83-196,12.68,42.66,11.33333333
SRR35834091,yunnan83-205,13.63,38.81,11.66666667
SRR35197252,yunnan83-206,14.63,42.22,12
SRR35834080,yunnan83-225,12.95,38.86,10
SRR35197309,yunnan83-240,15.89,29.59,7.333333333
SRR35834070,guangdong-6,14.87,35.73,10.66666667
SRR35197308,guangdong-12,17.44,49.55,12
SRR35834069,guangdong-17,14.35,38.82,13.33333333
SRR34977627,guangdong-60,17.89,52,22.66666667
SRR35834068,guizhou78-II-012,18.83,50.74,6.666666667
SRR34977689,jiangxi79-17,17.92,46.09,11
SRR35834067,jiangxi79-27,18.29,44.7,10.66666667
SRR34977688,sichuan74-I-14,19.64,43.83,12.33333333
SRR35834123,sichuan76-II-16,16.86,36.73,9.666666667
SRR35834122,sichuan79-I-19,17.65,51.51,10.33333333
SRR34977687,sichuan79-I-27,18.97,54.19,9
SRR35834121,sichuan79-I-4,20.2,51.58,NA
SRR34977686,sichuan88-4,19.05,45.44,14.33333333
SRR35834120,sichuan92-12,12.47,45,8.333333333
SRR34977684,sichuan92-14,14.45,39.18,11.66666667
SRR35776253,sichuan92-16,17.39,46.48,18.66666667
SRR34977683,sichuan92-38,19.07,55.23,10.33333333
SRR35834119,yunnan76-I-024,17.52,50.24,9
SRR35834118,yunnan75-II-35,16.35,43.94,7.333333333
SRR35776254,yunnan76-III-20,14.43,32.41,9
SRR35834117,yunnan82-103,12.13,40.63,6.666666667
SRR35834116,yunnan82-12,11.82,35.79,11.33333333
SRR35834115,yunnan82-20,11.19,33.7,14
SRR35834114,yunnan82-34,12.59,41.6,10
SRR35834112,yunnan83-189,13.02,43.78,6.333333333
SRR35834111,yunnan83-207,13.87,42.58,6.333333333
SRR35834110,yunnan83-213,16.11,48.56,11.66666667
SRR35834109,yunnan83-231,13.99,34.77,6
SRR35834108,yunnan83-235,15.81,36.09,17.66666667
SRR35834107,yunnan84-247,16.93,35.42,14
SRR35834106,yunnan84-259,17.41,39.14,11.33333333
SRR35834105,yunnan84-264,15.12,28.77,10
SRR35834104,yunnanheqing,14.93,59.76,8.666666667
SRR35670640,yunnankaiyuan,15.81,42.58,7.666666667
SRR35834103,fujian88-I-13,15.7,22.79,9.666666667
SRR35834101,fujian88-I-12,15.15,22.7,13
SRR35834100,fujian89-I-7,15.86,32.29,8
SRR35834099,guangdong-8,14.96,46.52,16
SRR35776230,guangdong-67,14.33,46.63,12
SRR35834098,sichuan79-II-10,16.61,50.26,13.33333333
SRR35834097,yunnan82-132,14.06,42.66,8.666666667
SRR35776231,yunnan82-136,15.07,44.96,13
SRR35834096,yunnan83-193,16.95,43.74,11
SRR35834095,fujian92-I-12,17.3,42.49,14.33333333
SRR35834094,guangdong-45,9.98,28.4,6.333333333
SRR34977682,guangdong-50,15.81,53.61,19.66666667
SRR35197307,guangdong-74,13.92,29.8,7.333333333
SRR35197306,yunnan75-I-6,13.9,30.37,8
SRR35197305,yunnan75-II-8,16.74,38.63,8
SRR35197304,yunnan76-I-012,15.41,51.87,16.33333333
SRR35197303,yunnan82-84,12.06,30.11,12.33333333
SRR35197302,yunnan83-163,16.12,50.97,7
SRR34977681,yunnan83-201,15.94,28.88,15.33333333
SRR35197301,yunnan83-208,12.56,20.36,15.66666667
SRR35197300,yunnan84-248,14.74,41.39,5
SRR35834093,yunnan84-251,17.27,48.64,11
SRR35834092,yunnan84-256,15.32,38.14,9.666666667
SRR35834090,hainan92-14,16.98,46.1,5.666666667
SRR35834089,guangdong-58,18.02,51.88,11
SRR35834088,yunnan83-200,11.79,29.56,10.66666667
SRR35776232,yunnan87-40,11.64,35.94,8.333333333
SRR35834087,guangdong-3,14.64,54.3,14.33333333
SRR35834086,guizhou78-II-09,17.83,56.96,7.666666667
SRR35776233,yunnan75-II-28,15.53,43.42,16.33333333
SRR35834085,yunnan76-III-13,14.54,52.16,7.666666667
SRR35834084,yunnan82-145,16.83,31.6,15
SRR35834083,yunnan87-26,13.6,37.98,6.666666667
SRR34977680,yunnan83-159,16.39,47.4,9.333333333
SRR35834082,guangdong-2,17.47,49.16,14.33333333
SRR34977679,yunnan83-157,15.73,45.3,8
SRR35834081,yunnan83-166,17.44,45.73,7.333333333
SRR34977678,fujian88-I-3,16.52,22.63,16.66666667
SRR35834079,fujian79-II-4,17.27,33.13,10.33333333
SRR34977677,fujian92-I-11,16.03,21.37,12.66666667
SRR35776234,fujian92-I-19,15.81,21.54,7.333333333
SRR34977676,sichuan79-I-16,18.95,47.32,13.66666667
SRR35834078,sichuan79-I-21,17.05,39.6,8.666666667
SRR35834077,sichuan79-II-6,14.8,42.39,13.33333333
SRR34977675,sichuan88-18,18.14,48.02,12
SRR35834076,sichuan88-34,19.27,48.51,15
SRR35776235,sichuan88-48,17.78,40.17,9.333333333
SRR35776236,sichuan92-17,15.67,39.27,7
SRR35834075,sichuan92-28,16.77,44.08,23.66666667
SRR35776238,sichuan92-31,15.19,50.62,8.333333333
SRR35670639,sichuan92-46,15.61,59.03,11.33333333
SRR35670638,sichuan92-5,15.96,53.36,7.666666667
SRR35670637,sichuanfushun-5,17.44,45.9,13.66666667
SRR35670636,sichuanjianyang-8,18.05,43.16,21.66666667
SRR35670635,sichuanneijiang-36,18.49,42.73,9.333333333
SRR35670634,sichuanneijiang-4,19.36,42.65,7.666666667
SRR35670632,sichuanneijiangbadi,18.3,42.39,6.666666667
SRR35670631,sichuanzizhong-3,16.31,46.62,7.333333333
SRR35670630,sichuanzizhong-9,16.88,41.18,11
SRR35670629,yunnan75-I-10,15.44,28.27,12.33333333
SRR35670628,yunnan75-II-2,13.78,31.72,11
SRR35670627,yunnan82-24,11.77,32.57,15.33333333
SRR35670626,yunnan82-7,15.03,30.89,7.666666667
SRR34977697,yunnan82-70,13.49,37.21,11
SRR35670625,fujianhuian,14.57,22.12,8.666666667
SRR34977649,sichuan79-I-20,14.11,41.24,13.33333333
SRR35670624,sichuan92-18,13.98,39.02,9.666666667
SRR35670623,sichuan92-30,15.11,47.78,12
SRR34977638,sichuan92-34,13.59,41.11,12.66666667
SRR35670621,sichuanneijiang-1,17.67,41.68,11.33333333
SRR34977673,sichuanneijiang-44,18.71,48.65,10.66666667
SRR35834074,guangxige-1,15.93333333,31.7944205,8.333333333
SRR34977672,fujian79-II-18,13.97,32.87,19.33333333
SRR35834073,guangdong-55,18.93,28.34,12.66666667
SRR35834072,guangdong-71,17.29,41.82,13.33333333
SRR35834071,guangdong-75,15.78,41.61,11.66666667
SRR35856856,guizhou78-II-04,15.23,52.22,7.333333333
SRR35856845,hainan92-41,16.58,42.42,10
SRR35776239,sichuan79-I-6,12.81,38.31,10
SRR35856844,sichuan92-49,18.32,54.12,10.66666667
SRR35856843,yunnan75-I-21,13.67,23.14,NA
SRR35856842,yunnan75-I-4,15.12,52.96,10.33333333
SRR35856899,yunnan75-II-27,16.66,40.43,13
SRR35856898,yunnan82-134,13.99,47.06,9.666666667
SRR35856897,yunnan82-77,11.68,21.76,13.33333333
SRR35856896,yunnan82-79,12.06,37.33,9.666666667
SRR35776240,yunnan83-167,16.2,40.62,10.66666667
SRR35856895,yunnan83-169,16.69,41.26,11.33333333
SRR35856894,yunnan83-171,16.39,45.15,7
SRR35856893,yunnan83-185,18.77,45.09,8.333333333
