id,accession_name,brix_percent,apparent_purity_percent,tiller_number,query_used,sra_uid_count,sra_uids,chosen_uid,srx,srr,srp,prjna,srs,samn,library_name,organism,instrument,title
ss_001,yunnan82-17,11.75,39.41,NA,PRJNA1303125 library_name=Ss_001,1,41002675,41002675,SRX30722290,SRR35670650,SRP608715,PRJNA1303125,SRS26739643,SAMN50496950,Ss_001,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_002,yunnan82-44,12.8,38.35,11.33333333,PRJNA1303125 library_name=Ss_002,1,40443063,40443063,SRX30301069,SRR35197311,SRP608715,PRJNA1303125,SRS26349343,SAMN50496951,Ss_002,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_003,yunnan83-202,16.4,38.11,NA,PRJNA1303125 library_name=Ss_003,1,41002676,41002676,SRX30722291,SRR35670649,SRP608715,PRJNA1303125,SRS26739644,SAMN50496952,Ss_003,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_004,yunnan84-258,16.02,36.68,NA,PRJNA1303125 library_name=Ss_004,1,41002677,41002677,SRX30722292,SRR35670648,SRP608715,PRJNA1303125,SRS26739642,SAMN50496953,Ss_004,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_005,yunnan82-33,17.32,48.77,6.333333333,PRJNA1303125 library_name=Ss_005,1,41002678,41002678,SRX30722293,SRR35670647,SRP608715,PRJNA1303125,SRS26739645,SAMN50496954,Ss_005,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_006,fujian88-Ⅰ-4,16.07,23.01,7.666666667,PRJNA1303125 library_name=Ss_006,1,41002679,41002679,SRX30722294,SRR35670646,SRP608715,PRJNA1303125,SRS26739646,SAMN50496955,Ss_006,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_007,fujian89-Ⅰ-4,15.17,49.58,14.66666667,PRJNA1303125 library_name=Ss_007,1,41002680,41002680,SRX30722295,SRR35670645,SRP608715,PRJNA1303125,SRS26739648,SAMN50496956,Ss_007,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_008,fujian88-Ⅰ-7,19.1,47.06,17.33333333,PRJNA1303125 library_name=Ss_008,1,41002682,41002682,SRX30722297,SRR35670643,SRP608715,PRJNA1303125,SRS26739649,SAMN50496957,Ss_008,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_010,sichuan79-Ⅱ-16,20.39,51.28,7.666666667,PRJNA1303125 library_name=Ss_010,1,40443064,40443064,SRX30301070,SRR35197310,SRP608715,PRJNA1303125,SRS26349344,SAMN50496958,Ss_010,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_011,sichuan88-22,13.41,30.61,11,PRJNA1303125 library_name=Ss_011,1,41002683,41002683,SRX30722298,SRR35670642,SRP608715,PRJNA1303125,SRS26739650,SAMN50496959,Ss_011,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_012,sichuan88-8,18.86,51.95,7.666666667,PRJNA1303125 library_name=Ss_012,1,40443075,40443075,SRX30301081,SRR35197299,SRP608715,PRJNA1303125,SRS26349355,SAMN50496960,Ss_012,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_013,sichuan92-50,18.67,48.88,12.66666667,PRJNA1303125 library_name=Ss_013,1,41002684,41002684,SRX30722299,SRR35670641,SRP608715,PRJNA1303125,SRS26739651,SAMN50496961,Ss_013,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_014,yunnan76-Ⅱ-32,17.53,47.17,5.333333333,PRJNA1303125 library_name=Ss_014,1,40443086,40443086,SRX30301092,SRR35197288,SRP608715,PRJNA1303125,SRS26349366,SAMN50496962,Ss_014,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_015,yunnan75-Ⅱ-17,17.13,59.89,8.666666667,PRJNA1303125 library_name=Ss_015,1,41136181,41136181,SRX30825575,SRR35776250,SRP608715,PRJNA1303125,SRS26835399,SAMN50496963,Ss_015,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_016,yunnan75-Ⅱ-43,16.44,7.1,4.666666667,PRJNA1303125 library_name=Ss_016,1,40443097,40443097,SRX30301103,SRR35197277,SRP608715,PRJNA1303125,SRS26349377,SAMN50496964,Ss_016,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_017,yunnan82-25,12.21,21.36,24.33333333,PRJNA1303125 library_name=Ss_017,1,41203043,41203043,SRX30883357,SRR35834125,SRP608715,PRJNA1303125,SRS26885912,SAMN50496965,Ss_017,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_018,yunnan82-26,10.21,27.22,9,PRJNA1303125 library_name=Ss_018,1,41203044,41203044,SRX30883358,SRR35834124,SRP608715,PRJNA1303125,SRS26885913,SAMN50496966,Ss_018,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_019,yunnan82-48,15.52,31.13,9,PRJNA1303125 library_name=Ss_019,1,40443108,40443108,SRX30301114,SRR35197266,SRP608715,PRJNA1303125,SRS26349388,SAMN50496967,Ss_019,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_020,yunnan82-50,18.43,43.92,15,PRJNA1303125 library_name=Ss_020,1,41136179,41136179,SRX30825573,SRR35776252,SRP608715,PRJNA1303125,SRS26835397,SAMN50496968,Ss_020,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_021,yunnan82-58,16.66,42.81,11,PRJNA1303125 library_name=Ss_021,1,40443119,40443119,SRX30301125,SRR35197255,SRP608715,PRJNA1303125,SRS26349398,SAMN50496969,Ss_021,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_022,yunnan82-59,17.97,20.69,15.33333333,PRJNA1303125 library_name=Ss_022,1,41203055,41203055,SRX30883369,SRR35834113,SRP608715,PRJNA1303125,SRS26885924,SAMN50496970,Ss_022,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_023,yunnan83-173,13.32,44.97,5,PRJNA1303125 library_name=Ss_023,1,40443120,40443120,SRX30301126,SRR35197254,SRP608715,PRJNA1303125,SRS26349399,SAMN50496971,Ss_023,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_024,yunnan83-190,19.21,47.16,10,PRJNA1303125 library_name=Ss_024,1,41203066,41203066,SRX30883380,SRR35834102,SRP608715,PRJNA1303125,SRS26885935,SAMN50496972,Ss_024,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_025,yunnan83-196,12.68,42.66,11.33333333,PRJNA1303125 library_name=Ss_025,1,40443121,40443121,SRX30301127,SRR35197253,SRP608715,PRJNA1303125,SRS26349401,SAMN50496973,Ss_025,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_026,yunnan83-205,13.63,38.81,11.66666667,PRJNA1303125 library_name=Ss_026,1,41203077,41203077,SRX30883391,SRR35834091,SRP608715,PRJNA1303125,SRS26885946,SAMN50496974,Ss_026,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_027,yunnan83-206,14.63,42.22,12,PRJNA1303125 library_name=Ss_027,1,40443122,40443122,SRX30301128,SRR35197252,SRP608715,PRJNA1303125,SRS26349402,SAMN50496975,Ss_027,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
ss_028,yunnan83-225,12.95,38.86,10,PRJNA1303125 library_name=Ss_028,1,41203088,41203088,SRX30883402,SRR35834080,SRP608715,PRJNA1303125,SRS26885958,SAMN50496976,Ss_028,Saccharum spontaneum,DNBSEQ-T7,Whole genome resequencing of Saccharum spp.: young leaf
