id,accession_name,brix_percent,apparent_purity_percent,tiller_number
ss_001,yunnan82-17,11.75,39.41,NA
ss_002,yunnan82-44,12.8,38.35,11.33333333
ss_003,yunnan83-202,16.4,38.11,NA
ss_004,yunnan84-258,16.02,36.68,NA
ss_005,yunnan82-33,17.32,48.77,6.333333333
ss_006,fujian88-Ⅰ-4,16.07,23.01,7.666666667
ss_007,fujian89-Ⅰ-4,15.17,49.58,14.66666667
ss_008,fujian88-Ⅰ-7,19.1,47.06,17.33333333
ss_010,sichuan79-Ⅱ-16,20.39,51.28,7.666666667
ss_011,sichuan88-22,13.41,30.61,11
ss_012,sichuan88-8,18.86,51.95,7.666666667
ss_013,sichuan92-50,18.67,48.88,12.66666667
ss_014,yunnan76-Ⅱ-32,17.53,47.17,5.333333333
ss_015,yunnan75-Ⅱ-17,17.13,59.89,8.666666667
ss_016,yunnan75-Ⅱ-43,16.44,7.1,4.666666667
ss_017,yunnan82-25,12.21,21.36,24.33333333
ss_018,yunnan82-26,10.21,27.22,9
ss_019,yunnan82-48,15.52,31.13,9
ss_020,yunnan82-50,18.43,43.92,15
ss_021,yunnan82-58,16.66,42.81,11
ss_022,yunnan82-59,17.97,20.69,15.33333333
ss_023,yunnan83-173,13.32,44.97,5
ss_024,yunnan83-190,19.21,47.16,10
ss_025,yunnan83-196,12.68,42.66,11.33333333
ss_026,yunnan83-205,13.63,38.81,11.66666667
ss_027,yunnan83-206,14.63,42.22,12
ss_028,yunnan83-225,12.95,38.86,10
ss_029,yunnan83-240,15.89,29.59,7.333333333
ss_030,guangdong-6,14.87,35.73,10.66666667
ss_031,guangdong-12,17.44,49.55,12
ss_032,guangdong-17,14.35,38.82,13.33333333
ss_033,guangdong-60,17.89,52,22.66666667
ss_034,guizhou78-Ⅱ-012,18.83,50.74,6.666666667
ss_035,jiangxi79-17,17.92,46.09,11
ss_036,jiangxi79-27,18.29,44.7,10.66666667
ss_037,sichuan74-Ⅰ-14,19.64,43.83,12.33333333
ss_038,sichuan76-Ⅱ-16,16.86,36.73,9.666666667
ss_040,sichuan79-Ⅰ-19,17.65,51.51,10.33333333
ss_041,sichuan79-Ⅰ-27,18.97,54.19,9
ss_042,sichuan79-Ⅰ-4,20.2,51.58,NA
ss_043,sichuan88-4,19.05,45.44,14.33333333
ss_044,sichuan92-12,12.47,45,8.333333333
ss_045,sichuan92-14,14.45,39.18,11.66666667
ss_046,sichuan92-16,17.39,46.48,18.66666667
ss_047,sichuan92-38,19.07,55.23,10.33333333
ss_048,yunnan76-Ⅰ-024,17.52,50.24,9
ss_049,yunnan75-Ⅱ-35,16.35,43.94,7.333333333
