sample	fine_cluster	coarse_t0.01	coarse_t0.02	coarse_t0.05	coarse_t0.1
ERR1007500	117	1	1	1	1
ERR1036024	560	1	1	1	1
ERR1036026	559	1	1	1	1
ERR1036033	558	1	1	1	1
ERR1036034	557	1	1	1	1
ERR1036037	3	1	1	1	1
ERR1036038	1	1	1	1	1
ERR1036040	1	1	1	1	1
ERR1036041	556	11	2	1	1
ERR1036042	555	1	1	1	1
ERR1036044	554	1	1	1	1
ERR1036046	3	1	1	1	1
ERR1036057	175	1	1	1	1
ERR1036059	553	1	1	1	1
ERR1036060	552	1	1	1	1
ERR1036063	174	1	1	1	1
ERR1036065	1	1	1	1	1
ERR1036076	551	1	1	1	1
ERR1036079	550	1	1	1	1
ERR1069045	549	5	2	1	1
ERR1069048	85	4	2	1	1
ERR1069052	1	1	1	1	1
ERR1100528	548	1	1	1	1
ERR1100529	547	1	1	1	1
ERR1100530	76	1	1	1	1
ERR1100534	173	1	1	1	1
ERR1100535	114	1	1	1	1
ERR1100539	84	1	1	1	1
ERR1100541	75	1	1	1	1
ERR1100546	546	1	1	1	1
ERR1100547	545	5	2	1	1
ERR1100548	51	1	1	1	1
ERR1100551	544	11	2	1	1
ERR1100553	543	1	1	1	1
ERR1100554	542	1	1	1	1
ERR1100555	172	1	1	1	1
ERR1100556	541	1	1	1	1
ERR1100557	540	1	1	1	1
ERR1100559	539	1	1	1	1
ERR1100560	74	1	1	1	1
ERR1100562	62	1	1	1	1
ERR1100566	538	1	1	1	1
ERR1100577	171	1	1	1	1
ERR1100578	537	1	1	1	1
ERR1100584	536	1	1	1	1
ERR1100585	535	1	1	1	1
ERR1100586	534	1	1	1	1
ERR1100587	19	1	1	1	1
ERR1100588	36	1	1	1	1
ERR1100595	83	1	1	1	1
ERR1100599	533	1	1	1	1
ERR1100602	532	1	1	1	1
ERR1100604	531	1	1	1	1
ERR1100605	530	1	1	1	1
ERR1100607	529	1	1	1	1
ERR1100610	23	1	1	1	1
ERR1100613	528	1	1	1	1
ERR1100614	527	11	2	1	1
ERR1100616	526	1	1	1	1
ERR1100620	111	1	1	1	1
ERR1100625	525	1	1	1	1
ERR1100626	524	5	2	1	1
ERR1100629	523	1	1	1	1
ERR1100630	73	1	1	1	1
ERR1100632	522	1	1	1	1
ERR1100633	521	1	1	1	1
ERR1100635	520	1	1	1	1
ERR1100638	113	1	1	1	1
ERR1156181	41	1	1	1	1
ERR1156183	519	1	1	1	1
ERR1156184	518	1	1	1	1
ERR1156185	170	1	1	1	1
ERR1156186	517	1	1	1	1
ERR1156187	516	1	1	1	1
ERR1156188	515	1	1	1	1
ERR1156192	71	1	1	1	1
ERR1156193	32	1	1	1	1
ERR1156194	112	1	1	1	1
ERR1156197	61	1	1	1	1
ERR1156199	514	1	1	1	1
ERR1156200	513	1	1	1	1
ERR1156201	109	1	1	1	1
ERR1156203	512	1	1	1	1
ERR1156204	169	1	1	1	1
ERR1156206	168	1	1	1	1
ERR1156209	511	1	1	1	1
ERR1156210	510	1	1	1	1
ERR1156211	509	1	1	1	1
ERR1156216	110	6	2	1	1
ERR1156224	108	1	1	1	1
ERR1156226	107	1	1	1	1
ERR1156227	508	1	1	1	1
ERR1156228	167	1	1	1	1
ERR1156230	507	1	1	1	1
ERR1156237	506	1	1	1	1
ERR1156241	505	1	1	1	1
ERR1156242	504	1	1	1	1
ERR1156244	503	1	1	1	1
ERR1156245	502	1	1	1	1
ERR1156247	501	1	1	1	1
ERR1156248	500	1	1	1	1
ERR1156250	499	1	1	1	1
ERR1156251	166	1	1	1	1
ERR1156252	498	1	1	1	1
ERR1156256	39	1	1	1	1
ERR1156258	50	1	1	1	1
ERR1156264	106	1	1	1	1
ERR1156265	72	1	1	1	1
ERR1156266	72	1	1	1	1
ERR1156267	497	1	1	1	1
ERR1156268	496	1	1	1	1
ERR1156269	495	1	1	1	1
ERR1156270	165	1	1	1	1
ERR1156272	494	1	1	1	1
ERR1156273	493	1	1	1	1
ERR1156274	72	1	1	1	1
ERR1156276	164	1	1	1	1
ERR1156281	19	1	1	1	1
ERR1156282	19	1	1	1	1
ERR1156288	492	1	1	1	1
ERR1156289	163	1	1	1	1
ERR1156290	105	1	1	1	1
ERR1156291	77	1	1	1	1
ERR1156293	491	1	1	1	1
ERR1156294	490	1	1	1	1
ERR1156296	33	1	1	1	1
ERR1156301	62	1	1	1	1
ERR1156303	489	1	1	1	1
ERR1156304	488	1	1	1	1
ERR1156305	62	1	1	1	1
ERR1156309	487	1	1	1	1
ERR1156310	486	1	1	1	1
ERR1156311	485	1	1	1	1
ERR1156312	484	1	1	1	1
ERR1156313	483	1	1	1	1
ERR1156320	482	1	1	1	1
ERR1216305	19	1	1	1	1
ERR1216306	51	1	1	1	1
ERR1541759	4	1	1	1	1
ERR1541783	12	1	1	1	1
ERR1541800	1	1	1	1	1
ERR1541804	3	1	1	1	1
ERR1541805	481	11	2	1	1
ERR1541825	15	1	1	1	1
ERR1541826	1	1	1	1	1
ERR1541827	11	1	1	1	1
ERR1541839	1	1	1	1	1
ERR1541842	70	1	1	1	1
ERR1541855	1	1	1	1	1
ERR1541860	2	1	1	1	1
ERR1541864	60	1	1	1	1
ERR1541874	1	1	1	1	1
ERR1541875	2	1	1	1	1
ERR1541877	1	1	1	1	1
ERR1541890	480	1	1	1	1
ERR1541893	7	1	1	1	1
ERR1541900	479	5	2	1	1
ERR1541906	12	1	1	1	1
ERR1541924	59	11	2	1	1
ERR1541954	12	1	1	1	1
ERR1541971	478	1	1	1	1
ERR1541977	7	1	1	1	1
ERR1541983	477	1	1	1	1
ERR1541988	476	11	2	1	1
ERR1541991	69	11	2	1	1
