sample	hdbscan_cluster	membership_prob	fine_cluster
ERR1007500	-1	0.0	117
ERR1036024	-1	0.0	560
ERR1036026	7	0.8895609245758002	559
ERR1036033	-1	0.0	558
ERR1036034	37	1.0	557
ERR1036037	29	1.0	3
ERR1036038	-1	0.0	1
ERR1036040	21	0.25462962962962965	1
ERR1036041	2	0.281330915531565	556
ERR1036042	1	1.0	555
ERR1036044	-1	0.0	554
ERR1036046	29	1.0	3
ERR1036057	6	0.927669707924485	175
ERR1036059	-1	0.0	553
ERR1036060	-1	0.0	552
ERR1036063	-1	0.0	174
ERR1036065	-1	0.0	1
ERR1036076	-1	0.0	551
ERR1036079	-1	0.0	550
ERR1069045	3	0.9865282564691723	549
ERR1069048	3	0.44286652790824754	85
ERR1069052	-1	0.0	1
ERR1100528	0	1.0	548
ERR1100529	7	1.0	547
ERR1100530	-1	0.0	76
ERR1100534	6	1.0	173
ERR1100535	9	0.7811919179806942	114
ERR1100539	8	0.9374481224476244	84
ERR1100541	-1	0.0	75
ERR1100546	-1	0.0	546
ERR1100547	3	0.9723124620880231	545
ERR1100548	-1	0.0	51
ERR1100551	2	0.4143242202541394	544
ERR1100553	7	0.8053454884491869	543
ERR1100554	-1	0.0	542
ERR1100555	-1	0.0	172
ERR1100556	7	0.9646187116673167	541
ERR1100557	-1	0.0	540
ERR1100559	-1	0.0	539
ERR1100560	7	0.8663079470198676	74
ERR1100562	7	1.0	62
ERR1100566	7	0.8800802160658548	538
ERR1100577	7	0.9646187116673167	171
ERR1100578	-1	0.0	537
ERR1100584	7	0.7873202349605024	536
ERR1100585	7	0.8892847221087381	535
ERR1100586	1	0.33714781643955727	534
ERR1100587	7	1.0	19
ERR1100588	-1	0.0	36
ERR1100595	7	0.9989719866358263	83
ERR1100599	6	1.0	533
ERR1100602	-1	0.0	532
ERR1100604	6	1.0	531
ERR1100605	6	1.0	530
ERR1100607	-1	0.0	529
ERR1100610	-1	0.0	23
ERR1100613	7	0.8587073155336742	528
ERR1100614	2	0.5163947115831192	527
ERR1100616	7	0.8611941951922012	526
ERR1100620	-1	0.0	111
ERR1100625	7	0.8611124297808371	525
ERR1100626	3	0.870232967775405	524
ERR1100629	7	1.0	523
ERR1100630	-1	0.0	73
ERR1100632	7	0.8663079470198676	522
ERR1100633	-1	0.0	521
ERR1100635	6	1.0	520
ERR1100638	6	1.0	113
ERR1156181	6	1.0	41
ERR1156183	-1	0.0	519
ERR1156184	-1	0.0	518
ERR1156185	-1	0.0	170
ERR1156186	-1	0.0	517
ERR1156187	5	0.43894070578326083	516
ERR1156188	-1	0.0	515
ERR1156192	6	1.0	71
ERR1156193	7	1.0	32
ERR1156194	7	1.0	112
ERR1156197	-1	0.0	61
ERR1156199	6	1.0	514
ERR1156200	5	0.6244735404514775	513
ERR1156201	5	0.5355529024165394	109
ERR1156203	9	0.8131240639041438	512
ERR1156204	-1	0.0	169
ERR1156206	-1	0.0	168
ERR1156209	-1	0.0	511
ERR1156210	6	1.0	510
ERR1156211	5	0.4872806776304934	509
ERR1156216	-1	0.0	110
ERR1156224	-1	0.0	108
ERR1156226	6	1.0	107
ERR1156227	5	0.4414285358379631	508
ERR1156228	-1	0.0	167
ERR1156230	5	0.4678337095858581	507
ERR1156237	-1	0.0	506
ERR1156241	5	0.5637986444776784	505
ERR1156242	-1	0.0	504
ERR1156244	5	0.5950098225229612	503
ERR1156245	5	0.6037070478202354	502
ERR1156247	6	1.0	501
ERR1156248	6	1.0	500
ERR1156250	6	1.0	499
ERR1156251	5	0.46179808957869084	166
ERR1156252	6	1.0	498
ERR1156256	-1	0.0	39
ERR1156258	-1	0.0	50
ERR1156264	5	0.5543094009072422	106
ERR1156265	0	1.0	72
ERR1156266	0	1.0	72
ERR1156267	7	0.8766350924672981	497
ERR1156268	5	0.7067469735346322	496
ERR1156269	7	1.0	495
ERR1156270	5	0.6485185659645334	165
ERR1156272	-1	0.0	494
ERR1156273	6	1.0	493
ERR1156274	0	1.0	72
ERR1156276	6	1.0	164
ERR1156281	7	1.0	19
ERR1156282	7	1.0	19
ERR1156288	-1	0.0	492
ERR1156289	7	0.8575841147269719	163
ERR1156290	6	1.0	105
ERR1156291	6	1.0	77
ERR1156293	6	1.0	491
ERR1156294	-1	0.0	490
ERR1156296	7	0.8474344000622908	33
ERR1156301	7	1.0	62
ERR1156303	6	1.0	489
ERR1156304	7	0.8663079470198676	488
ERR1156305	7	1.0	62
ERR1156309	7	1.0	487
ERR1156310	7	1.0	486
ERR1156311	7	1.0	485
ERR1156312	-1	0.0	484
ERR1156313	7	0.9463012555211631	483
ERR1156320	5	0.6970436082535061	482
ERR1216305	7	1.0	19
ERR1216306	-1	0.0	51
ERR1541759	20	1.0	4
ERR1541783	25	1.0	12
ERR1541800	-1	0.0	1
ERR1541804	32	0.4491315136476427	3
ERR1541805	2	1.0	481
ERR1541825	-1	0.0	15
ERR1541826	15	0.613950691521347	1
ERR1541827	11	0.7573637384469206	11
ERR1541839	-1	0.0	1
ERR1541842	6	1.0	70
ERR1541855	15	1.0	1
ERR1541860	13	1.0	2
ERR1541864	-1	0.0	60
ERR1541874	-1	0.0	1
ERR1541875	23	1.0	2
ERR1541877	18	1.0	1
ERR1541890	5	0.4517259840913726	480
ERR1541893	30	0.45993425107869323	7
ERR1541900	3	1.0	479
ERR1541906	25	1.0	12
ERR1541924	2	0.41615410527366414	59
ERR1541954	25	0.37090263200387535	12
ERR1541971	-1	0.0	478
ERR1541977	30	0.9040791599353797	7
ERR1541983	-1	0.0	477
ERR1541988	2	1.0	476
ERR1541991	2	0.23095724424441752	69
ERR1541994	3	0.7972919199734719	475
ERR1542002	3	0.804719138729291	162
ERR1542010	3	0.7455554636788356	474
